,0,1
Carteira,1.0,4.0
14:28:16,1.5249466504326792,2.1531934462220903
14:28:59,1.5296597410418666,2.055101874309284
14:30:50,1.4969299451448537,2.079022125305019
14:31:47,1.5752196169304566,2.0968232423251187
14:32:45,1.5841221214144552,2.0990483819526284
14:33:29,1.5411806291975916,2.08792268381508
14:34:34,1.5757432936648108,2.119630923507132
14:37:21,1.4890747941295857,2.1296440518309367
14:38:28,1.4958825916761676,2.1700674217307148
14:39:12,1.5087126716677668,2.2169807822107535
14:41:36,1.5160441459487028,2.253139301157825
14:45:38,1.5356820234869062,2.2475764520890396
14:46:43,1.524422973698325,2.2648212842022453
14:48:23,1.5225901051280966,2.148743166967071
14:51:18,1.4513700692562415,2.3067280805203705
14:53:54,1.590668080593849,2.2460930256706924
14:55:10,1.5225901051280966,2.487706103557996
15:00:10,1.6919995286909462,2.385905965599333
15:01:07,1.7768351596559429,2.1565311556633437
15:16:17,1.6597934095282874,2.1856433991232826
15:21:24,1.5492976185800478,2.1656171424756954
15:22:19,1.5163059843158688,2.1181474970887626
15:29:52,1.486980087192169,2.085882972489861
15:30:48,1.5582001230640463,2.237007038858363
15:34:54,1.6137098569053432,2.1478160254555956
15:36:44,1.602450807116762,2.1667297122894613
15:37:38,1.6124006650694467,2.175259414194919
15:38:46,1.6103059581320522,1.9831556930197225
15:41:54,1.472578976997485,2.034333904452512
15:44:09,1.6213031695534452,1.9872351156701829
15:46:00,1.609258604663344,2.0404530384281694
15:47:09,1.5689354961182511,1.9290106287502828
15:51:23,1.4958825916761676,1.9089843721026734
15:53:47,1.5754814552976448,1.9753677043234497
15:55:27,1.5045232577929557,2.124266631064442
15:57:09,1.6359661181152951,2.0662275724468326
15:59:03,1.6626736315672241,2.039155040312113
15:59:48,1.6003561001793454,2.0693798535858177
16:01:06,1.5652697589777942,1.9887185420885078
16:02:02,1.576005132031999,2.0766115573752186
16:03:09,1.5833366063129128,2.1001609517663944
16:04:04,1.8127070159590586,2.092002106465518
16:07:50,1.7956875220926038,2.1947293859356343
16:08:35,1.8616707906209395,2.2179079237222066
16:09:19,1.9703337129989729,2.335098610771169
16:11:09,2.089470170064023,2.275761554037503
16:11:42,2.089470170064023,2.275761554037503
16:12:49,2.089470170064023,2.275761554037503
16:13:44,2.089470170064023,2.275761554037503
16:14:28,2.089470170064023,2.41668706377991
16:15:23,1.9315816346569203,2.41668706377991
16:16:07,1.9315816346569203,2.41668706377991
16:17:13,1.9315816346569203,2.41668706377991
16:19:03,1.9315816346569203,2.41668706377991
16:20:09,1.8621944673552937,2.302834086172223
16:21:15,1.8449131351216952,2.302834086172223
16:22:10,1.8449131351216952,2.302834086172223
16:22:54,1.8449131351216952,2.302834086172223
16:24:13,1.8449131351216952,2.302834086172223
16:25:08,1.8449131351216952,2.302834086172223
16:25:41,1.8449131351216952,2.302834086172223
16:27:01,1.8449131351216952,2.302834086172223
16:27:56,1.8449131351216952,2.302834086172223
